area,item,year,yield,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
Algeria,Maize,1998,17222,89,17.14,322.84
Algeria,Maize,1999,22375,89,17.97,654.45
Algeria,Maize,2000,36186,89,17.9,603.67
Algeria,Maize,2001,27175,89,18.13,710.11
Algeria,Maize,2002,33480,89,17.85,816.55
Algeria,Maize,2004,31729,89,17.38,3747.86
Algeria,Maize,2005,33864,89,17.19,3662.87
Algeria,Maize,2006,65668,89,18.13,4110.72
Algeria,Maize,2007,85625,89,17.42,5390.79
Algeria,Maize,2008,44714,89,17.55,11556.12
Algeria,Maize,2009,30914,89,17.78,3867.99
Algeria,Maize,2010,25827,89,17.59,1295.88
Algeria,Maize,2011,23374,89,17.79,13861.76
Algeria,Maize,2012,25583,89,17.91,17379.76
Algeria,Maize,2013,33649,89,17.65,17278.65
Algeria,Potatoes,1990,78936,89,17.48,1828.92
Algeria,Potatoes,1991,90747,89,16.26,2461.8
Algeria,Potatoes,1992,107917,89,16.27,1215.47
Algeria,Potatoes,1993,111215,89,17,1021.89
Algeria,Potatoes,1994,95078,89,17.88,1255.02
Algeria,Potatoes,1995,136768,89,17.36,2697.09
Algeria,Potatoes,1996,134629,89,16.76,479.77
Algeria,Potatoes,1997,141042,89,17.84,401.22
Algeria,Potatoes,1998,160256,89,17.14,322.84
Algeria,Potatoes,1999,153532,89,17.97,654.45
Algeria,Potatoes,2000,166143,89,17.9,603.67
Algeria,Potatoes,2001,147018,89,18.13,710.11
Algeria,Potatoes,2002,183774,89,17.85,816.55
Algeria,Potatoes,2004,203585,89,17.38,3747.86
Algeria,Potatoes,2005,216267,89,17.19,3662.87
Algeria,Potatoes,2006,220689,89,18.13,4110.72
Algeria,Potatoes,2007,189927,89,17.42,5390.79
Algeria,Potatoes,2008,236393,89,17.55,11556.12
Algeria,Potatoes,2009,250764,89,17.78,3867.99
Algeria,Potatoes,2010,270526,89,17.59,1295.88
Algeria,Potatoes,2011,292806,89,17.79,13861.76
Algeria,Potatoes,2012,304291,89,17.91,17379.76
Algeria,Potatoes,2013,303218,89,17.65,17278.65
Algeria,"Rice, paddy",1990,28000,89,17.48,1828.92
Algeria,"Rice, paddy",1991,26786,89,16.26,2461.8
Algeria,"Rice, paddy",1992,24733,89,16.27,1215.47
Algeria,"Rice, paddy",1993,23111,89,17,1021.89
Algeria,"Rice, paddy",1994,21374,89,17.88,1255.02
Algeria,"Rice, paddy",1995,19598,89,17.36,2697.09
Algeria,"Rice, paddy",1996,17861,89,16.76,479.77
Algeria,"Rice, paddy",1997,15000,89,17.84,401.22
Algeria,"Rice, paddy",1998,15000,89,17.14,322.84
Algeria,"Rice, paddy",1999,13942,89,17.97,654.45
Algeria,"Rice, paddy",2000,13052,89,17.9,603.67
Algeria,"Rice, paddy",2001,12314,89,18.13,710.11
Algeria,"Rice, paddy",2002,12959,89,17.85,816.55
Algeria,"Rice, paddy",2004,12829,89,17.38,3747.86
Algeria,"Rice, paddy",2005,12998,89,17.19,3662.87
Algeria,"Rice, paddy",2006,12769,89,18.13,4110.72
Algeria,"Rice, paddy",2007,13375,89,17.42,5390.79
Algeria,"Rice, paddy",2008,13952,89,17.55,11556.12
Algeria,"Rice, paddy",2009,14594,89,17.78,3867.99
Algeria,"Rice, paddy",2010,15305,89,17.59,1295.88
Algeria,"Rice, paddy",2011,16081,89,17.79,13861.76
Algeria,"Rice, paddy",2012,16667,89,17.91,17379.76
Algeria,"Rice, paddy",2013,17778,89,17.65,17278.65
Algeria,Sorghum,1990,16571,89,17.48,1828.92
Algeria,Sorghum,1991,24231,89,16.26,2461.8
Algeria,Sorghum,1992,40000,89,16.27,1215.47
Algeria,Sorghum,1993,50000,89,17,1021.89
Algeria,Sorghum,1995,12667,89,17.36,2697.09
Algeria,Sorghum,1996,14750,89,16.76,479.77
Algeria,Sorghum,1997,40000,89,17.84,401.22
Algeria,Sorghum,1998,24500,89,17.14,322.84
Algeria,Sorghum,1999,27000,89,17.97,654.45
Algeria,Sorghum,2000,69500,89,17.9,603.67
Algeria,Sorghum,2001,27750,89,18.13,710.11
Algeria,Sorghum,2002,33900,89,17.85,816.55
Algeria,Sorghum,2004,43316,89,17.38,3747.86
Algeria,Sorghum,2005,33486,89,17.19,3662.87
Algeria,Sorghum,2006,56728,89,18.13,4110.72
Algeria,Sorghum,2007,119059,89,17.42,5390.79
Algeria,Sorghum,2008,61786,89,17.55,11556.12
Algeria,Sorghum,2009,90465,89,17.78,3867.99
Algeria,Sorghum,2010,30286,89,17.59,1295.88
Algeria,Sorghum,2011,100000,89,17.79,13861.76
Algeria,Sorghum,2012,206000,89,17.91,17379.76
Algeria,Sorghum,2013,60000,89,17.65,17278.65
Algeria,Wheat,1990,6315,89,17.48,1828.92
Algeria,Wheat,1991,10809,89,16.26,2461.8
Algeria,Wheat,1992,9939,89,16.27,1215.47
Algeria,Wheat,1993,8097,89,17,1021.89
Algeria,Wheat,1994,7999,89,17.88,1255.02
Algeria,Wheat,1995,8924,89,17.36,2697.09
Algeria,Wheat,1996,13090,89,16.76,479.77
Algeria,Wheat,1997,8016,89,17.84,401.22
Algeria,Wheat,1998,8847,89,17.14,322.84
Algeria,Wheat,1999,10711,89,17.97,654.45
Algeria,Wheat,2000,9194,89,17.9,603.67
Algeria,Wheat,2001,11104,89,18.13,710.11
Algeria,Wheat,2002,10739,89,17.85,816.55
Algeria,Wheat,2004,13582,89,17.38,3747.86
Algeria,Wheat,2005,15057,89,17.19,3662.87
Algeria,Wheat,2006,15068,89,18.13,4110.72
Algeria,Wheat,2007,12742,89,17.42,5390.79
Algeria,Wheat,2008,11038,89,17.55,11556.12
Algeria,Wheat,2009,15975,89,17.78,3867.99
Algeria,Wheat,2010,14838,89,17.59,1295.88
Algeria,Wheat,2011,17405,89,17.79,13861.76
Algeria,Wheat,2012,17639,89,17.91,17379.76
Algeria,Wheat,2013,19100,89,17.65,17278.65
Angola,Cassava,1990,41177,1010,24.12,64
Angola,Cassava,1991,40295,1010,24.02,79
Angola,Cassava,1992,42295,1010,23.96,23
Angola,Cassava,1993,42295,1010,24.15,169
Angola,Cassava,1994,58596,1010,24.04,25.5
Angola,Cassava,1995,51000,1010,24.56,336
Angola,Cassava,1996,48077,1010,24.11,40
Angola,Cassava,1997,44205,1010,24.06,40
Angola,Cassava,1998,55728,1010,24.96,40
Angola,Cassava,1999,59821,1010,24.37,40
Angola,Cassava,2000,82992,1010,24.41,40
Angola,Cassava,2001,94072,1010,24.43,40
Angola,Cassava,2002,110071,1010,24.79,40
Angola,Cassava,2004,125605,1010,24.22,40
Angola,Cassava,2005,117628,1010,24.41,40
Angola,Cassava,2006,117201,1010,24.14,40
Angola,Cassava,2007,115387,1010,24.24,40
Angola,Cassava,2008,148084,1010,24.27,40
Angola,Cassava,2009,151759,1010,24.33,40
Angola,Cassava,2010,155782,1010,24.44,40
Angola,Cassava,2011,133649,1010,24.15,40
Angola,Cassava,2012,100073,1010,24.24,40
Angola,Cassava,2013,140517,1010,24.55,40
Angola,Maize,1990,2736,1010,24.12,64
Angola,Maize,1991,4013,1010,24.02,79
Angola,Maize,1992,3778,1010,23.96,23
Angola,Maize,1993,2627,1010,24.15,169
Angola,Maize,1994,2463,1010,24.04,25.5
Angola,Maize,1995,3517,1010,24.56,336
Angola,Maize,1996,6993,1010,24.11,40
Angola,Maize,1997,5959,1010,24.06,40
Angola,Maize,1998,7396,1010,24.96,40
Angola,Maize,1999,6361,1010,24.37,40
Angola,Maize,2000,5745,1010,24.41,40
Angola,Maize,2001,5754,1010,24.43,40
Angola,Maize,2002,6706,1010,24.79,40
Angola,Maize,2004,5404,1010,24.22,40
Angola,Maize,2005,6736,1010,24.41,40
Angola,Maize,2006,4687,1010,24.14,40
Angola,Maize,2007,5091,1010,24.24,40
Angola,Maize,2008,7946,1010,24.27,40
Angola,Maize,2009,6614,1010,24.33,40
Angola,Maize,2010,7200,1010,24.44,40
Angola,Maize,2011,7376,1010,24.15,40
Angola,Maize,2012,7770,1010,24.24,40
Angola,Maize,2013,9467,1010,24.55,40
Angola,Potatoes,1990,40000,1010,24.12,64
Angola,Potatoes,1991,40000,1010,24.02,79
Angola,Potatoes,1992,40000,1010,23.96,23
Angola,Potatoes,1993,70000,1010,24.15,169
Angola,Potatoes,1994,90000,1010,24.04,25.5
Angola,Potatoes,1995,76738,1010,24.56,336
Angola,Potatoes,1996,70000,1010,24.11,40
Angola,Potatoes,1997,68571,1010,24.06,40
Angola,Potatoes,1998,62724,1010,24.96,40
Angola,Potatoes,1999,54597,1010,24.37,40
Angola,Potatoes,2000,29885,1010,24.41,40
Angola,Potatoes,2001,42552,1010,24.43,40
Angola,Potatoes,2002,42754,1010,24.79,40
Angola,Potatoes,2004,20150,1010,24.22,40
Angola,Potatoes,2005,23646,1010,24.41,40
Angola,Potatoes,2006,52148,1010,24.14,40
Angola,Potatoes,2007,62138,1010,24.24,40
Angola,Potatoes,2008,85085,1010,24.27,40
Angola,Potatoes,2009,86509,1010,24.33,40
Angola,Potatoes,2010,87425,1010,24.44,40
Angola,Potatoes,2011,81366,1010,24.15,40
Angola,Potatoes,2012,69381,1010,24.24,40
Angola,Potatoes,2013,63303,1010,24.55,40
Angola,"Rice, paddy",1990,9512,1010,24.12,64
Angola,"Rice, paddy",1991,10000,1010,24.02,79
Angola,"Rice, paddy",1992,9106,1010,23.96,23
Angola,"Rice, paddy",1993,8000,1010,24.15,169
Angola,"Rice, paddy",1994,8750,1010,24.04,25.5
Angola,"Rice, paddy",1995,14615,1010,24.56,336
Angola,"Rice, paddy",1996,17500,1010,24.11,40
Angola,"Rice, paddy",1997,20000,1010,24.06,40
Angola,"Rice, paddy",1998,20000,1010,24.96,40
Angola,"Rice, paddy",1999,14235,1010,24.37,40
Angola,"Rice, paddy",2000,13454,1010,24.41,40
Angola,"Rice, paddy",2001,13701,1010,24.43,40
Angola,"Rice, paddy",2002,13198,1010,24.79,40
Angola,"Rice, paddy",2004,11584,1010,24.22,40
Angola,"Rice, paddy",2005,6977,1010,24.41,40
Angola,"Rice, paddy",2006,4947,1010,24.14,40
Angola,"Rice, paddy",2007,5143,1010,24.24,40
Angola,"Rice, paddy",2008,5084,1010,24.27,40
Angola,"Rice, paddy",2009,6028,1010,24.33,40
Angola,"Rice, paddy",2010,7403,1010,24.44,40
Angola,"Rice, paddy",2011,8914,1010,24.15,40
Angola,"Rice, paddy",2012,7703,1010,24.24,40
Angola,"Rice, paddy",2013,12744,1010,24.55,40
Angola,Sorghum,2000,3333,1010,24.41,40
Angola,Sorghum,2001,3571,1010,24.43,40
Angola,Sorghum,2002,3400,1010,24.79,40
Angola,Sorghum,2004,3333,1010,24.22,40
Angola,Sorghum,2005,3333,1010,24.41,40
Angola,Sorghum,2006,4091,1010,24.14,40
Angola,Sorghum,2007,4031,1010,24.24,40
Angola,Sorghum,2008,929,1010,24.27,40
Angola,Sorghum,2009,2480,1010,24.33,40
Angola,Sorghum,2010,2814,1010,24.44,40
Angola,Sorghum,2011,3320,1010,24.15,40
Angola,Sorghum,2012,998,1010,24.24,40
Angola,Sorghum,2013,2415,1010,24.55,40
Angola,Soybeans,2000,2333,1010,24.41,40
Angola,Soybeans,2001,2500,1010,24.43,40
Angola,Soybeans,2002,2857,1010,24.79,40
Angola,Soybeans,2004,3600,1010,24.22,40
Angola,Soybeans,2005,3793,1010,24.41,40
Angola,Soybeans,2006,4286,1010,24.14,40
Angola,Soybeans,2007,6883,1010,24.24,40
Angola,Soybeans,2008,8575,1010,24.27,40
Angola,Soybeans,2009,4449,1010,24.33,40
Angola,Soybeans,2010,4446,1010,24.44,40
Angola,Soybeans,2011,5294,1010,24.15,40
Angola,Soybeans,2012,1641,1010,24.24,40
Angola,Soybeans,2013,4405,1010,24.55,40
Angola,Sweet potatoes,1990,89342,1010,24.12,64
Angola,Sweet potatoes,1991,83001,1010,24.02,79
Angola,Sweet potatoes,1992,90000,1010,23.96,23
Angola,Sweet potatoes,1993,88095,1010,24.15,169
Angola,Sweet potatoes,1994,83192,1010,24.04,25.5
Angola,Sweet potatoes,1995,81138,1010,24.56,336
Angola,Sweet potatoes,1996,85455,1010,24.11,40
Angola,Sweet potatoes,1997,78098,1010,24.06,40
Angola,Sweet potatoes,1998,76256,1010,24.96,40
Angola,Sweet potatoes,1999,82865,1010,24.37,40
Angola,Sweet potatoes,2000,34938,1010,24.41,40
Angola,Sweet potatoes,2001,44458,1010,24.43,40
Angola,Sweet potatoes,2002,42190,1010,24.79,40
Angola,Sweet potatoes,2004,45360,1010,24.22,40
Angola,Sweet potatoes,2005,46159,1010,24.41,40
Angola,Sweet potatoes,2006,44240,1010,24.14,40
Angola,Sweet potatoes,2007,58855,1010,24.24,40
Angola,Sweet potatoes,2008,65437,1010,24.27,40
Angola,Sweet potatoes,2009,66475,1010,24.33,40
Angola,Sweet potatoes,2010,63001,1010,24.44,40
Angola,Sweet potatoes,2011,65512,1010,24.15,40
Angola,Sweet potatoes,2012,52954,1010,24.24,40
Angola,Sweet potatoes,2013,73409,1010,24.55,40
Angola,Wheat,1990,7995,1010,24.12,64
Angola,Wheat,1991,8000,1010,24.02,79
Angola,Wheat,1992,8000,1010,23.96,23
Angola,Wheat,1993,8876,1010,24.15,169
Angola,Wheat,1994,10000,1010,24.04,25.5
Angola,Wheat,1995,11855,1010,24.56,336
Angola,Wheat,1996,13738,1010,24.11,40
Angola,Wheat,1997,15509,1010,24.06,40
Angola,Wheat,1998,17143,1010,24.96,40
Angola,Wheat,1999,17391,1010,24.37,40
Angola,Wheat,2000,17023,1010,24.41,40
Angola,Wheat,2001,16667,1010,24.43,40
Angola,Wheat,2002,15455,1010,24.79,40
Angola,Wheat,2004,12442,1010,24.22,40
Angola,Wheat,2005,10946,1010,24.41,40
Angola,Wheat,2006,10000,1010,24.14,40
Angola,Wheat,2007,10000,1010,24.24,40
Angola,Wheat,2008,10000,1010,24.27,40
Angola,Wheat,2009,10000,1010,24.33,40
Angola,Wheat,2010,10526,1010,24.44,40
Angola,Wheat,2011,10959,1010,24.15,40
Angola,Wheat,2012,11258,1010,24.24,40
Angola,Wheat,2013,9022,1010,24.55,40
Argentina,Cassava,1990,100000,591,17.67,26156
Argentina,Cassava,1991,100000,591,17.86,26156
Argentina,Cassava,1992,100000,591,17.51,26156
Argentina,Cassava,1993,100000,591,17.53,26156
Argentina,Cassava,1994,100000,591,18.31,30195
Argentina,Cassava,1995,100000,591,17.62,37842
Argentina,Cassava,1996,100000,591,17.97,54595
Argentina,Cassava,1997,100000,591,18.54,77691
Argentina,Cassava,1998,100000,591,17.52,62397
Argentina,Cassava,1999,100000,591,17.71,62831.39
Argentina,Cassava,2000,100000,591,17.66,63265.78
Argentina,Cassava,2001,100000,591,18.42,63700.17
Argentina,Cassava,2002,100000,591,18.07,64134.56
Argentina,Cassava,2004,100000,591,18.11,65003.34
Argentina,Cassava,2005,100000,591,17.83,65437.73
Argentina,Cassava,2006,100000,591,18.35,65872.12
Argentina,Cassava,2007,100000,591,17.14,81582.64
Argentina,Cassava,2008,100000,591,18.39,87149.01
Argentina,Cassava,2009,101695,591,18.09,61586.56
Argentina,Cassava,2010,101000,591,17.84,105915.04
Argentina,Cassava,2011,100000,591,17.93,100424.62
Argentina,Cassava,2012,100000,591,18.43,136185.08
Argentina,Cassava,2013,99459,591,16.88,171945.54
Argentina,Maize,1990,34608,591,17.67,26156
Argentina,Maize,1991,40444,591,17.86,26156
Argentina,Maize,1992,45237,591,17.51,26156
Argentina,Maize,1993,43552,591,17.53,26156
Argentina,Maize,1994,42371,591,18.31,30195
Argentina,Maize,1995,45223,591,17.62,37842
Argentina,Maize,1996,40397,591,17.97,54595
Argentina,Maize,1997,45557,591,18.54,77691
Argentina,Maize,1998,60780,591,17.52,62397
Argentina,Maize,1999,53702,591,17.71,62831.39
Argentina,Maize,2000,54329,591,17.66,63265.78
Argentina,Maize,2001,54553,591,18.42,63700.17
Argentina,Maize,2002,60791,591,18.07,64134.56
Argentina,Maize,2004,63931,591,18.11,65003.34
Argentina,Maize,2005,73587,591,17.83,65437.73
Argentina,Maize,2006,59030,591,18.35,65872.12
Argentina,Maize,2007,76655,591,17.14,81582.64
Argentina,Maize,2008,64525,591,18.39,87149.01
Argentina,Maize,2009,55760,591,18.09,61586.56
Argentina,Maize,2010,78040,591,17.84,105915.04
Argentina,Maize,2011,63503,591,17.93,100424.62
Argentina,Maize,2012,57346,591,18.43,136185.08
Argentina,Maize,2013,66037,591,16.88,171945.54
Argentina,Potatoes,1990,202747,591,17.67,26156
Argentina,Potatoes,1991,205692,591,17.86,26156
Argentina,Potatoes,1992,199039,591,17.51,26156
Argentina,Potatoes,1993,210314,591,17.53,26156
Argentina,Potatoes,1994,230166,591,18.31,30195
Argentina,Potatoes,1995,274272,591,17.62,37842
Argentina,Potatoes,1996,228877,591,17.97,54595
Argentina,Potatoes,1997,268502,591,18.54,77691
Argentina,Potatoes,1998,293744,591,17.52,62397
Argentina,Potatoes,1999,238938,591,17.71,62831.39
Argentina,Potatoes,2000,277566,591,17.66,63265.78
Argentina,Potatoes,2001,283768,591,18.42,63700.17
Argentina,Potatoes,2002,251347,591,18.07,64134.56
Argentina,Potatoes,2004,288717,591,18.11,65003.34
Argentina,Potatoes,2005,283917,591,17.83,65437.73
Argentina,Potatoes,2006,285828,591,18.35,65872.12
Argentina,Potatoes,2007,286765,591,17.14,81582.64
Argentina,Potatoes,2008,279412,591,18.39,87149.01
Argentina,Potatoes,2009,284439,591,18.09,61586.56
Argentina,Potatoes,2010,289849,591,17.84,105915.04
Argentina,Potatoes,2011,286657,591,17.93,100424.62
Argentina,Potatoes,2012,287821,591,18.43,136185.08
Argentina,Potatoes,2013,288984,591,16.88,171945.54
Argentina,"Rice, paddy",1990,36709,591,17.67,26156
Argentina,"Rice, paddy",1991,40294,591,17.86,26156
Argentina,"Rice, paddy",1992,52075,591,17.51,26156
Argentina,"Rice, paddy",1993,43559,591,17.53,26156
Argentina,"Rice, paddy",1994,42989,591,18.31,30195
Argentina,"Rice, paddy",1995,50306,591,17.62,37842
Argentina,"Rice, paddy",1996,51031,591,17.97,54595
Argentina,"Rice, paddy",1997,53703,591,18.54,77691
Argentina,"Rice, paddy",1998,47762,591,17.52,62397
Argentina,"Rice, paddy",1999,57337,591,17.71,62831.39
Argentina,"Rice, paddy",2000,47798,591,17.66,63265.78
Argentina,"Rice, paddy",2001,57495,591,18.42,63700.17
Argentina,"Rice, paddy",2002,57197,591,18.07,64134.56
Argentina,"Rice, paddy",2004,62661,591,18.11,65003.34
Argentina,"Rice, paddy",2005,60165,591,17.83,65437.73
Argentina,"Rice, paddy",2006,70610,591,18.35,65872.12
Argentina,"Rice, paddy",2007,65604,591,17.14,81582.64
Argentina,"Rice, paddy",2008,68278,591,18.39,87149.01
Argentina,"Rice, paddy",2009,68842,591,18.09,61586.56
Argentina,"Rice, paddy",2010,57646,591,17.84,105915.04
Argentina,"Rice, paddy",2011,67901,591,17.93,100424.62
Argentina,"Rice, paddy",2012,66617,591,18.43,136185.08
Argentina,"Rice, paddy",2013,67187,591,16.88,171945.54
Argentina,Sorghum,1990,28116,591,17.67,26156
Argentina,Sorghum,1991,33320,591,17.86,26156
Argentina,Sorghum,1992,36217,591,17.51,26156
Argentina,Sorghum,1993,39529,591,17.53,26156
Argentina,Sorghum,1994,35065,591,18.31,30195
Argentina,Sorghum,1995,34588,591,17.62,37842
Argentina,Sorghum,1996,38763,591,17.97,54595
Argentina,Sorghum,1997,36845,591,18.54,77691
Argentina,Sorghum,1998,48105,591,17.52,62397
Argentina,Sorghum,1999,43845,591,17.71,62831.39
Argentina,Sorghum,2000,46477,591,17.66,63265.78
Argentina,Sorghum,2001,47429,591,18.42,63700.17
Argentina,Sorghum,2002,52691,591,18.07,64134.56
Argentina,Sorghum,2004,45531,591,18.11,65003.34
Argentina,Sorghum,2005,51872,591,17.83,65437.73
Argentina,Sorghum,2006,46778,591,18.35,65872.12
Argentina,Sorghum,2007,47021,591,17.14,81582.64
Argentina,Sorghum,2008,47474,591,18.39,87149.01
Argentina,Sorghum,2009,38752,591,18.09,61586.56
Argentina,Sorghum,2010,48163,591,17.84,105915.04
Argentina,Sorghum,2011,44029,591,17.93,100424.62
Argentina,Sorghum,2012,46534,591,18.43,136185.08
Argentina,Sorghum,2013,40852,591,16.88,171945.54
Argentina,Soybeans,1990,21566,591,17.67,26156
Argentina,Soybeans,1991,22750,591,17.86,26156
Argentina,Soybeans,1992,22915,591,17.51,26156
Argentina,Soybeans,1993,21589,591,17.53,26156
Argentina,Soybeans,1994,20386,591,18.31,30195
Argentina,Soybeans,1995,20446,591,17.62,37842
Argentina,Soybeans,1996,21051,591,17.97,54595
Argentina,Soybeans,1997,17212,591,18.54,77691
Argentina,Soybeans,1998,26937,591,17.52,62397
Argentina,Soybeans,1999,24450,591,17.71,62831.39
Argentina,Soybeans,2000,23312,591,17.66,63265.78
Argentina,Soybeans,2001,25846,591,18.42,63700.17
Argentina,Soybeans,2002,26304,591,18.07,64134.56
Argentina,Soybeans,2004,22075,591,18.11,65003.34
Argentina,Soybeans,2005,27287,591,17.83,65437.73
Argentina,Soybeans,2006,26793,591,18.35,65872.12
Argentina,Soybeans,2007,29712,591,17.14,81582.64
Argentina,Soybeans,2008,28216,591,18.39,87149.01
Argentina,Soybeans,2009,18480,591,18.09,61586.56
Argentina,Soybeans,2010,29053,591,17.84,105915.04
Argentina,Soybeans,2011,26053,591,17.93,100424.62
Argentina,Soybeans,2012,22814,591,18.43,136185.08
Argentina,Soybeans,2013,25391,591,16.88,171945.54
Argentina,Sweet potatoes,1990,131864,591,17.67,26156
Argentina,Sweet potatoes,1991,131364,591,17.86,26156
Argentina,Sweet potatoes,1992,127273,591,17.51,26156
Argentina,Sweet potatoes,1993,122955,591,17.53,26156
Argentina,Sweet potatoes,1994,176667,591,18.31,30195
Argentina,Sweet potatoes,1995,168000,591,17.62,37842
Argentina,Sweet potatoes,1996,170000,591,17.97,54595
Argentina,Sweet potatoes,1997,145662,591,18.54,77691
Argentina,Sweet potatoes,1998,175055,591,17.52,62397
